Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Timestamp,Account_Balance,Device_Type,Location,Merchant_Category,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Is_Weekend,Fraud_Label
TXN_15177,USER_9349,37.11,POS,2023-12-21 08:48:00,92977.91,Tablet,Sydney,Electronics,0,0,12,457.42,3,Visa,135,395.36,Biometric,0.1136,1,0
TXN_34304,USER_9413,1.58,Bank Transfer,2023-04-08 09:13:00,63076.36,Laptop,New York,Clothing,0,0,13,309.49,1,Amex,47,2074.77,Biometric,0.3433,0,0
TXN_12609,USER_5861,178.56,POS,2023-08-16 10:01:00,62359.52,Tablet,Tokyo,Groceries,0,0,4,491.21,4,Visa,29,2159.31,Password,0.444,1,1
TXN_12144,USER_5939,19.37,Bank Transfer,2023-04-29 04:34:00,34416.01,Tablet,London,Travel,0,0,9,163.5,3,Discover,129,4436.61,PIN,0.2924,0,0
TXN_6113,USER_5566,22.02,ATM Withdrawal,2023-12-28 04:45:00,55851.38,Mobile,Sydney,Electronics,0,0,13,179.73,3,Visa,204,633.99,PIN,0.1305,1,0
TXN_15908,USER_4615,203.97,ATM Withdrawal,2023-06-18 23:36:00,73616.91,Mobile,New York,Restaurants,1,0,4,482.2,4,Mastercard,173,4723.22,Password,0.8633,1,1
TXN_821,USER_3832,55.35,POS,2023-05-11 16:15:00,88292.27,Tablet,Sydney,Electronics,0,0,12,283.43,0,Visa,80,625.67,PIN,0.7883,1,0
TXN_15118,USER_9751,17.17,ATM Withdrawal,2023-11-25 07:35:00,71983.33,Mobile,Sydney,Electronics,0,0,2,36.46,2,Mastercard,165,3402.37,PIN,0.0233,0,0
TXN_13466,USER_9775,72.33,ATM Withdrawal,2023-08-14 21:55:00,29954.64,Mobile,Sydney,Clothing,0,0,3,233.6,4,Discover,120,3956.54,Password,0.408,1,1
TXN_26497,USER_6725,188.75,Online,2023-07-16 07:49:00,58078.66,Mobile,Sydney,Travel,0,1,4,495.1,0,Amex,85,3935.53,Password,0.1379,0,0
TXN_42111,USER_3085,2.61,Bank Transfer,2023-01-11 00:41:00,51803.62,Tablet,Tokyo,Groceries,0,0,1,382.67,2,Visa,86,4963.49,Biometric,0.5355,0,0
TXN_30188,USER_7987,195.76,Online,2023-11-28 19:13:00,85000.68,Tablet,Mumbai,Travel,0,1,14,226.9,1,Mastercard,65,4045.87,PIN,0.2553,1,0
TXN_37237,USER_1116,8.06,ATM Withdrawal,2023-07-09 22:27:00,38155.13,Laptop,Sydney,Travel,0,0,9,298.73,4,Mastercard,232,1819.59,Password,0.4784,0,1
TXN_33109,USER_8088,73.34,Bank Transfer,2023-04-20 13:18:00,72060.59,Laptop,London,Clothing,0,0,9,434.91,2,Visa,92,4779.55,Biometric,0.4097,0,0
TXN_36480,USER_4147,9.82,Bank Transfer,2023-11-08 14:12:00,39996.92,Mobile,Sydney,Electronics,0,0,13,42.42,2,Discover,152,2772.48,Password,0.9658,0,1
TXN_24148,USER_7419,197.21,Online,2023-04-29 17:19:00,32472.3,Laptop,Sydney,Electronics,0,0,14,268.08,0,Visa,225,1947.0,PIN,0.8843,0,1
TXN_5503,USER_7666,56.45,ATM Withdrawal,2023-08-22 00:16:00,1525.05,Mobile,Mumbai,Restaurants,0,0,8,277.53,3,Amex,103,1031.7,Password,0.6745,0,0
TXN_3918,USER_5135,0.32,Online,2023-11-18 02:35:00,39236.78,Mobile,Sydney,Electronics,0,0,11,66.4,1,Amex,38,1548.07,OTP,0.5475,1,0
TXN_38478,USER_8041,63.83,POS,2023-04-24 20:18:00,75526.24,Laptop,Sydney,Restaurants,0,0,14,69.19,1,Visa,45,3878.08,Biometric,0.6558,0,0
TXN_21123,USER_2155,147.71,POS,2023-04-11 16:20:00,40660.04,Laptop,Sydney,Restaurants,0,0,5,191.11,2,Mastercard,20,3055.68,OTP,0.1327,0,0
TXN_49717,USER_5843,127.57,ATM Withdrawal,2023-04-12 10:16:00,43073.71,Laptop,London,Travel,0,0,7,139.86,0,Visa,228,3424.04,OTP,0.7918,1,0
TXN_42294,USER_2756,15.24,POS,2023-12-07 08:06:00,61396.94,Tablet,Mumbai,Travel,0,0,9,198.16,2,Amex,195,840.45,PIN,0.5575,0,0
TXN_47609,USER_4265,80.4,POS,2023-01-18 06:08:00,60394.4,Laptop,New York,Travel,0,0,10,292.42,4,Mastercard,95,4530.61,Biometric,0.8746,0,1
TXN_11076,USER_7471,3.13,POS,2023-04-27 06:32:00,34717.05,Tablet,Mumbai,Restaurants,0,0,8,266.86,2,Amex,87,2351.65,Biometric,0.4547,0,0
TXN_41514,USER_8456,9.53,Online,2023-08-18 15:21:00,60125.25,Mobile,Tokyo,Groceries,0,0,10,389.23,0,Amex,206,3951.42,PIN,0.3199,1,0
TXN_22062,USER_5964,24.73,Bank Transfer,2023-07-22 00:15:00,26301.84,Tablet,New York,Clothing,0,1,2,181.3,2,Amex,162,1199.1,Biometric,0.8063,1,0
TXN_9413,USER_8631,138.21,POS,2023-12-24 09:13:00,38278.34,Tablet,New York,Electronics,0,0,2,424.38,1,Mastercard,158,4183.86,PIN,0.703,0,0
TXN_38340,USER_3125,39.63,Bank Transfer,2023-04-25 12:12:00,8549.08,Mobile,Tokyo,Travel,0,0,13,329.74,4,Visa,17,4940.9,Password,0.5676,0,1
TXN_30263,USER_8150,11.77,ATM Withdrawal,2023-11-10 20:46:00,42891.23,Mobile,London,Groceries,0,1,5,434.42,4,Discover,106,1296.27,Biometric,0.7972,1,1
TXN_41252,USER_8968,129.22,Bank Transfer,2023-05-18 18:25:00,19305.37,Mobile,London,Clothing,0,0,13,368.53,3,Discover,44,665.43,PIN,0.7823,0,0
TXN_14644,USER_6129,13.36,Bank Transfer,2023-07-13 16:27:00,12122.23,Tablet,New York,Groceries,0,0,6,363.3,0,Visa,159,142.32,PIN,0.8096,0,0
TXN_26335,USER_6910,272.93,POS,2023-03-10 02:01:00,34981.69,Mobile,London,Groceries,0,0,4,128.02,3,Mastercard,121,4510.4,Biometric,0.3406,0,0
TXN_28102,USER_6333,23.69,POS,2023-02-16 03:22:00,24626.76,Mobile,Tokyo,Restaurants,0,0,13,23.77,2,Amex,25,2506.35,Biometric,0.6866,0,0
TXN_17523,USER_4369,70.81,ATM Withdrawal,2023-10-08 19:40:00,99005.13,Tablet,Mumbai,Electronics,0,0,3,362.81,3,Visa,211,3089.62,Biometric,0.5454,1,0
TXN_24712,USER_5004,22.63,Bank Transfer,2023-05-07 04:16:00,85873.02,Mobile,New York,Groceries,0,0,3,282.11,3,Discover,163,817.02,OTP,0.3183,1,0
TXN_40485,USER_1299,92.27,ATM Withdrawal,2023-08-31 05:34:00,69161.25,Mobile,Mumbai,Travel,0,0,14,296.52,4,Mastercard,185,4627.43,Password,0.9537,0,1
TXN_3850,USER_5589,112.72,ATM Withdrawal,2023-02-24 10:48:00,85678.68,Tablet,London,Clothing,0,0,5,403.13,3,Discover,64,229.77,Biometric,0.1398,0,0
TXN_40040,USER_4320,213.77,ATM Withdrawal,2023-09-12 12:46:00,44775.66,Mobile,Mumbai,Clothing,0,0,11,449.66,2,Amex,179,3352.98,Password,0.1848,1,0
TXN_15267,USER_7970,3.06,Bank Transfer,2023-03-14 18:56:00,75650.51,Laptop,Sydney,Electronics,0,0,3,391.4,0,Discover,62,1855.93,OTP,0.0077,0,0
TXN_49146,USER_7335,308.73,Bank Transfer,2023-07-18 22:17:00,841.65,Mobile,Mumbai,Clothing,0,0,9,184.97,3,Amex,51,4722.91,Biometric,0.6362,0,0
TXN_30001,USER_1353,18.98,Online,2023-04-27 10:23:00,96821.71,Tablet,Sydney,Clothing,0,0,5,286.61,1,Discover,202,1607.61,OTP,0.9372,0,1
TXN_45926,USER_7190,38.1,Online,2023-06-08 07:01:00,80339.18,Tablet,Mumbai,Restaurants,0,0,4,376.23,0,Visa,209,2141.19,Password,0.7429,0,0
TXN_43824,USER_9641,69.78,POS,2023-04-15 02:12:00,84572.25,Laptop,New York,Restaurants,1,0,5,278.72,1,Visa,143,3623.95,OTP,0.9892,1,1
TXN_17240,USER_7599,29.6,ATM Withdrawal,2023-01-07 17:23:00,91272.39,Mobile,London,Groceries,0,1,5,423.67,3,Amex,132,3869.54,Biometric,0.4975,0,0
TXN_4892,USER_1490,231.0,POS,2023-04-21 10:33:00,50228.86,Tablet,London,Restaurants,0,0,11,261.18,2,Mastercard,11,736.9,Biometric,0.8829,0,1
TXN_725,USER_9717,24.48,POS,2023-07-26 12:48:00,89578.63,Mobile,Mumbai,Electronics,0,0,10,380.6,2,Mastercard,223,2541.13,Biometric,0.319,0,0
TXN_22949,USER_3789,237.11,POS,2023-04-09 09:26:00,38531.58,Mobile,Sydney,Electronics,0,0,5,397.31,2,Discover,8,7.01,PIN,0.7501,1,0
TXN_34657,USER_3467,306.6,POS,2023-11-07 20:48:00,66429.56,Laptop,Mumbai,Groceries,0,0,13,130.04,0,Discover,108,1700.82,Biometric,0.4144,1,0
TXN_37213,USER_1329,29.72,POS,2023-11-24 10:43:00,88648.99,Laptop,London,Groceries,0,0,3,54.98,2,Mastercard,55,2254.22,OTP,0.4566,0,0
TXN_20304,USER_4932,124.88,Online,2023-10-06 08:29:00,72517.85,Tablet,Sydney,Electronics,0,0,4,459.11,1,Mastercard,93,1379.33,Password,0.6091,0,0
TXN_15269,USER_5318,27.92,Bank Transfer,2023-11-14 02:39:00,77140.55,Mobile,Tokyo,Clothing,0,0,3,464.6,0,Discover,105,3061.09,Password,0.1976,0,0
TXN_22367,USER_7101,34.39,Online,2023-12-31 06:09:00,44749.59,Mobile,London,Groceries,0,0,10,342.54,3,Amex,182,3093.97,OTP,0.673,0,0
TXN_42684,USER_7646,95.05,Bank Transfer,2023-04-04 22:56:00,83198.66,Mobile,London,Restaurants,0,0,10,37.39,1,Amex,151,1498.03,Password,0.3344,0,0
TXN_46734,USER_8482,31.7,Online,2023-05-20 13:52:00,82964.35,Laptop,Sydney,Clothing,0,0,11,338.59,2,Visa,103,4265.72,PIN,0.0055,0,0
TXN_11732,USER_6828,191.97,Online,2023-11-12 11:09:00,67585.77,Tablet,Mumbai,Clothing,0,0,13,302.64,3,Mastercard,41,4856.51,PIN,0.0958,0,0
TXN_18619,USER_3415,44.07,Bank Transfer,2023-08-03 19:10:00,11918.09,Mobile,Mumbai,Groceries,0,0,11,376.21,3,Visa,231,13.98,Password,0.3889,0,0
TXN_48492,USER_1296,25.38,ATM Withdrawal,2023-12-10 06:24:00,48704.75,Tablet,Sydney,Clothing,1,0,7,115.09,3,Mastercard,168,3408.27,PIN,0.3222,0,0
TXN_26803,USER_8825,394.62,ATM Withdrawal,2023-11-12 01:51:00,71321.68,Mobile,Sydney,Restaurants,0,0,7,316.12,0,Discover,68,2684.63,Password,0.6492,0,0
TXN_44305,USER_2051,63.37,POS,2023-07-16 12:59:00,47665.1,Mobile,London,Groceries,0,0,4,109.07,2,Discover,20,3572.45,Password,0.2708,0,0
TXN_47522,USER_9409,16.97,POS,2023-08-19 11:56:00,52165.88,Mobile,New York,Electronics,0,0,10,319.69,0,Visa,103,4184.27,Biometric,0.7169,0,0
TXN_32207,USER_5520,363.86,POS,2023-09-28 03:41:00,90037.97,Laptop,London,Electronics,0,1,10,24.57,2,Discover,140,4614.29,Password,0.2718,1,0
TXN_2530,USER_2517,106.2,Bank Transfer,2023-08-18 05:12:00,31890.74,Laptop,London,Electronics,0,0,6,418.15,3,Visa,94,1352.51,Password,0.2693,0,0
TXN_17746,USER_2084,70.42,Bank Transfer,2023-08-14 04:36:00,21248.8,Laptop,Mumbai,Travel,0,0,1,377.0,1,Discover,15,1571.39,Biometric,0.8499,0,0
TXN_8270,USER_5180,21.33,ATM Withdrawal,2023-06-24 01:10:00,96219.67,Tablet,New York,Clothing,0,0,2,159.98,0,Discover,77,1837.58,Biometric,0.1647,1,0
TXN_15079,USER_6874,64.23,Bank Transfer,2023-04-05 19:36:00,67088.03,Laptop,Sydney,Clothing,0,0,14,324.54,0,Mastercard,38,3717.63,PIN,0.1274,0,0
TXN_13624,USER_3288,298.9,POS,2023-08-30 05:30:00,55658.79,Tablet,Sydney,Travel,0,0,14,60.8,1,Mastercard,42,2015.46,OTP,0.9441,0,1
TXN_30638,USER_2399,173.68,POS,2023-06-17 10:53:00,50940.03,Mobile,London,Groceries,0,0,10,282.28,4,Discover,71,146.07,Biometric,0.7388,0,1
TXN_30440,USER_3739,126.92,Online,2023-11-03 06:28:00,85516.43,Tablet,Tokyo,Travel,0,0,12,373.92,4,Discover,201,4787.71,PIN,0.3925,0,1
TXN_36056,USER_5231,40.64,ATM Withdrawal,2023-07-23 14:46:00,76016.81,Mobile,London,Electronics,0,0,5,359.54,1,Amex,128,620.67,PIN,0.6901,0,0
TXN_42651,USER_1970,12.87,Online,2023-08-05 04:14:00,51260.5,Tablet,New York,Clothing,0,0,1,230.41,2,Discover,235,1729.86,Password,0.4653,1,0
TXN_36803,USER_1362,3.1,Bank Transfer,2023-03-30 12:02:00,76141.76,Mobile,New York,Travel,0,0,10,204.59,4,Visa,67,2958.68,PIN,0.7693,0,1
TXN_48224,USER_7002,31.27,Online,2023-05-28 21:51:00,6814.33,Tablet,New York,Clothing,0,0,5,449.24,2,Amex,122,8.34,Password,0.737,1,0
TXN_29226,USER_6333,77.02,ATM Withdrawal,2023-04-11 04:53:00,35240.55,Tablet,Mumbai,Travel,0,0,10,232.91,0,Discover,194,3686.61,OTP,0.4556,0,0
TXN_5633,USER_2927,9.21,Bank Transfer,2023-05-07 01:01:00,29122.14,Mobile,Sydney,Restaurants,0,0,3,58.34,2,Visa,167,307.19,OTP,0.4958,0,0
TXN_5987,USER_4250,24.95,POS,2023-10-03 07:09:00,40716.69,Laptop,London,Clothing,0,0,1,57.26,1,Mastercard,70,1674.43,OTP,0.3064,1,0
TXN_48063,USER_1586,48.03,Bank Transfer,2023-03-18 07:20:00,64769.27,Laptop,Mumbai,Clothing,0,0,5,495.11,1,Mastercard,12,417.64,Password,0.1824,0,0
TXN_1812,USER_9555,31.32,ATM Withdrawal,2023-12-27 23:35:00,11082.48,Tablet,London,Travel,0,0,11,68.46,3,Visa,31,2672.02,PIN,0.491,1,0
TXN_27578,USER_9814,60.8,Online,2023-05-25 08:46:00,48076.05,Mobile,Mumbai,Restaurants,0,0,1,130.51,1,Mastercard,74,1388.4,Password,0.3993,1,0
TXN_16823,USER_9781,98.82,Bank Transfer,2023-01-14 14:07:00,20800.69,Tablet,New York,Restaurants,0,0,10,440.03,0,Discover,151,743.79,Password,0.1682,0,0
TXN_3928,USER_5143,32.32,POS,2023-12-25 22:20:00,35239.44,Tablet,London,Groceries,0,0,12,260.55,1,Amex,93,2716.25,OTP,0.69,0,0
TXN_37286,USER_6868,174.45,POS,2023-12-18 16:19:00,73618.23,Mobile,Sydney,Clothing,0,0,9,386.62,3,Amex,207,4996.91,OTP,0.4651,1,0
TXN_25045,USER_8955,109.35,POS,2023-04-04 15:05:00,42365.28,Mobile,London,Restaurants,0,0,4,355.47,1,Discover,103,3099.26,Biometric,0.389,0,0
TXN_15727,USER_9104,22.51,ATM Withdrawal,2023-05-12 15:42:00,1651.62,Tablet,London,Restaurants,0,0,2,470.64,0,Amex,23,205.3,Biometric,0.4306,1,0
TXN_29600,USER_3053,35.93,ATM Withdrawal,2023-09-06 22:45:00,83856.0,Laptop,Tokyo,Electronics,0,1,7,233.36,2,Amex,167,1550.67,PIN,0.6015,0,0
TXN_10430,USER_4414,282.59,Bank Transfer,2023-09-04 16:01:00,62888.38,Tablet,New York,Electronics,0,1,2,105.64,0,Discover,104,1603.64,Password,0.8951,0,1
TXN_25768,USER_2530,263.8,ATM Withdrawal,2023-10-10 03:48:00,94812.91,Tablet,Tokyo,Clothing,0,0,3,476.31,2,Visa,139,1300.58,OTP,0.8601,0,1
TXN_29103,USER_5978,58.79,POS,2023-03-15 22:49:00,81359.53,Mobile,London,Groceries,0,0,8,373.39,0,Discover,91,2367.83,PIN,0.2124,1,0
TXN_36537,USER_7333,124.74,Bank Transfer,2023-05-21 14:40:00,61520.85,Tablet,Mumbai,Travel,1,0,13,293.03,1,Mastercard,196,2379.56,Password,0.4269,0,0
TXN_39328,USER_7982,48.92,POS,2023-11-09 05:58:00,13124.53,Tablet,Sydney,Restaurants,0,0,1,131.59,1,Mastercard,79,2898.69,Biometric,0.9879,1,1
TXN_35539,USER_1081,4.97,ATM Withdrawal,2023-08-21 21:55:00,19504.57,Tablet,Mumbai,Clothing,0,0,8,394.36,3,Mastercard,205,3639.03,Password,0.3491,0,0
TXN_28075,USER_8172,50.4,Bank Transfer,2023-12-04 08:41:00,70996.25,Mobile,London,Electronics,0,0,14,84.89,1,Amex,74,1043.77,Password,0.5126,0,0
TXN_17840,USER_8784,180.62,ATM Withdrawal,2023-07-05 08:50:00,53345.96,Tablet,Sydney,Travel,0,0,4,47.79,2,Discover,90,3326.17,Password,0.6589,0,0
TXN_27802,USER_1446,140.6,ATM Withdrawal,2023-09-26 17:13:00,13935.49,Tablet,Sydney,Clothing,0,0,9,227.36,1,Mastercard,200,2864.87,PIN,0.7153,0,0
TXN_7682,USER_5144,231.35,ATM Withdrawal,2023-09-11 11:35:00,92933.91,Laptop,Tokyo,Groceries,0,0,8,478.76,1,Visa,34,2273.51,Password,0.1123,1,0
TXN_24279,USER_6056,212.22,POS,2023-12-27 20:03:00,6753.07,Mobile,Sydney,Travel,0,0,4,107.26,4,Discover,179,1046.9,Biometric,0.4688,0,1
TXN_33070,USER_5047,147.84,POS,2023-11-08 16:16:00,46527.47,Tablet,Sydney,Travel,0,0,1,131.17,3,Visa,148,4908.34,PIN,0.6642,0,0
TXN_35557,USER_2545,158.85,Bank Transfer,2023-07-30 12:24:00,11813.99,Tablet,New York,Travel,0,0,14,465.49,1,Amex,79,2653.12,Password,0.3265,0,0
TXN_37189,USER_1455,4.43,Bank Transfer,2023-04-01 08:34:00,18905.83,Laptop,New York,Restaurants,0,0,9,292.94,3,Mastercard,18,2594.13,Password,0.4432,1,0
TXN_47149,USER_5937,85.45,ATM Withdrawal,2023-09-09 10:02:00,41767.46,Mobile,Sydney,Groceries,0,0,14,228.01,0,Mastercard,92,4570.28,OTP,0.3784,0,0
TXN_46915,USER_1555,99.32,Online,2023-03-30 03:14:00,29329.35,Tablet,London,Clothing,0,0,10,34.74,4,Visa,167,3368.55,Biometric,0.1655,1,1
TXN_9801,USER_7021,87.29,Bank Transfer,2023-09-06 23:14:00,82933.42,Tablet,Sydney,Travel,0,1,2,270.04,0,Amex,115,4233.75,OTP,0.1413,1,0
TXN_38800,USER_5459,229.0,Online,2023-07-18 16:47:00,20413.24,Tablet,Sydney,Restaurants,0,0,5,492.31,2,Visa,107,4659.45,Biometric,0.3067,0,0
TXN_24669,USER_4575,22.4,POS,2023-12-18 00:16:00,87085.89,Laptop,Tokyo,Electronics,0,0,9,258.53,1,Mastercard,78,3264.92,PIN,0.1453,1,0
TXN_44233,USER_7422,263.59,Online,2023-12-11 22:48:00,98730.52,Laptop,New York,Groceries,0,1,4,79.03,1,Mastercard,157,4134.17,Biometric,0.3619,0,0
TXN_31919,USER_7275,425.97,POS,2023-12-28 17:35:00,14127.88,Mobile,London,Clothing,0,0,4,136.02,3,Mastercard,157,4657.46,Password,0.314,1,0
TXN_7134,USER_3374,119.44,ATM Withdrawal,2023-12-02 17:34:00,18698.54,Tablet,New York,Clothing,0,0,2,21.14,0,Discover,105,4487.33,OTP,0.6425,0,0
TXN_33704,USER_8445,18.41,POS,2023-11-28 19:21:00,48723.59,Tablet,Sydney,Electronics,0,0,2,51.4,3,Mastercard,82,1931.13,PIN,0.8117,0,0
TXN_29660,USER_5604,8.74,Bank Transfer,2023-05-06 05:38:00,1686.45,Laptop,New York,Electronics,0,0,10,375.95,1,Discover,13,3286.0,Password,0.6706,0,0
TXN_17893,USER_1941,513.78,POS,2023-01-14 21:25:00,63548.64,Laptop,Mumbai,Travel,0,0,6,327.31,0,Amex,201,2720.75,PIN,0.6938,0,0
TXN_22018,USER_1872,57.85,ATM Withdrawal,2023-11-27 15:04:00,28459.14,Laptop,New York,Electronics,0,0,13,71.66,4,Amex,81,3003.21,PIN,0.9129,0,1
TXN_13538,USER_9632,27.64,Online,2023-08-05 21:04:00,12521.24,Mobile,Tokyo,Restaurants,0,0,6,127.39,4,Discover,16,4150.25,OTP,0.76,0,1
TXN_43118,USER_6371,64.61,Bank Transfer,2023-06-22 22:04:00,94289.85,Mobile,New York,Clothing,0,0,11,332.4,3,Amex,139,366.13,OTP,0.6274,0,0
TXN_36420,USER_1509,106.84,POS,2023-01-09 03:23:00,55417.27,Laptop,Sydney,Groceries,0,0,13,277.96,0,Discover,65,17.13,Biometric,0.3657,0,0
TXN_9405,USER_8062,80.2,Online,2023-12-17 11:54:00,82626.55,Tablet,Sydney,Travel,0,0,5,151.98,0,Mastercard,159,178.6,PIN,0.0462,1,0
TXN_13413,USER_7132,11.91,ATM Withdrawal,2023-07-12 19:59:00,75447.75,Mobile,Mumbai,Travel,0,0,7,86.6,1,Visa,69,961.72,OTP,0.2151,0,0
TXN_6720,USER_3555,202.75,ATM Withdrawal,2023-09-18 06:38:00,58180.36,Tablet,London,Travel,1,0,8,77.57,0,Discover,6,1798.14,PIN,0.1632,1,0
TXN_15601,USER_5365,45.05,ATM Withdrawal,2023-11-20 22:19:00,7142.75,Mobile,Sydney,Groceries,1,0,6,177.07,0,Mastercard,32,4623.41,OTP,0.8534,1,1
TXN_44743,USER_8432,68.08,ATM Withdrawal,2023-03-09 07:45:00,11823.74,Mobile,Sydney,Electronics,0,0,14,124.97,2,Visa,116,4500.89,PIN,0.3606,1,0
TXN_31138,USER_9628,38.38,Online,2023-07-20 05:24:00,33764.14,Tablet,New York,Restaurants,0,0,3,111.29,4,Discover,109,249.27,Password,0.6095,0,1
TXN_2729,USER_3454,45.14,Bank Transfer,2023-04-27 02:53:00,90226.22,Laptop,Mumbai,Groceries,0,0,6,15.74,1,Visa,62,150.73,Password,0.0042,0,0
TXN_38242,USER_2488,40.68,ATM Withdrawal,2023-10-03 11:13:00,73513.35,Laptop,London,Clothing,0,0,3,27.19,1,Discover,40,768.22,Biometric,0.8577,0,1
TXN_29625,USER_4414,28.93,ATM Withdrawal,2023-02-25 22:53:00,21457.06,Laptop,Mumbai,Travel,0,0,4,356.78,0,Amex,124,293.67,Password,0.5639,0,0
TXN_47894,USER_2520,211.35,POS,2023-10-30 07:16:00,83061.48,Mobile,London,Travel,0,0,3,209.73,4,Mastercard,234,4917.78,OTP,0.4945,1,1
TXN_42090,USER_3767,221.65,ATM Withdrawal,2023-06-30 03:26:00,4113.54,Tablet,Mumbai,Groceries,0,0,1,380.62,0,Mastercard,153,4158.29,Biometric,0.8891,0,1
TXN_36399,USER_6354,203.14,Bank Transfer,2023-08-03 20:06:00,55114.35,Laptop,Sydney,Electronics,0,0,14,29.4,4,Amex,121,3874.84,OTP,0.7617,0,1
TXN_6244,USER_7966,77.56,ATM Withdrawal,2023-09-22 19:14:00,35091.4,Laptop,Mumbai,Electronics,0,0,3,126.65,2,Discover,84,1895.75,PIN,0.7788,1,0
TXN_5545,USER_7795,43.67,ATM Withdrawal,2023-02-01 11:09:00,871.39,Tablet,Mumbai,Groceries,0,0,8,281.45,0,Amex,64,321.41,Password,0.1535,0,0
TXN_4064,USER_2517,35.48,ATM Withdrawal,2023-08-27 03:48:00,96433.2,Mobile,Sydney,Travel,0,0,10,274.94,4,Amex,223,1801.72,OTP,0.9509,0,1
TXN_12851,USER_1325,69.42,ATM Withdrawal,2023-03-27 19:01:00,55756.5,Mobile,London,Clothing,0,0,2,67.54,3,Amex,38,1047.08,PIN,0.499,0,0
TXN_21802,USER_9174,105.88,Bank Transfer,2023-08-02 14:07:00,12611.33,Tablet,New York,Electronics,0,0,12,155.72,1,Discover,207,242.67,Password,0.5794,0,0
TXN_41163,USER_2725,97.23,Online,2023-11-10 02:24:00,50077.22,Tablet,Mumbai,Clothing,0,0,4,206.5,3,Visa,103,1523.59,PIN,0.6551,0,0
TXN_6232,USER_1564,309.46,POS,2023-12-10 11:13:00,1754.34,Laptop,London,Electronics,0,0,2,452.58,1,Visa,139,2165.65,Biometric,0.2389,0,0
